Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
87524.0000000000,442.2460114000,253.2911550000,0.8197383920,90546.0000000000,0.7586505790,1184.0400000000,Kecimen
75166.0000000000,406.6906870000,243.0324363000,0.8018052340,78789.0000000000,0.6841295700,1121.7860000000,Kecimen
90856.0000000000,442.2670483000,266.3283177000,0.7983536190,93717.0000000000,0.6376128120,1208.5750000000,Kecimen
45928.0000000000,286.5405586000,208.7600423000,0.6849892170,47336.0000000000,0.6995993850,844.1620000000,Kecimen
79408.0000000000,352.1907699000,290.8275329000,0.5640113300,81463.0000000000,0.7927719260,1073.2510000000,Kecimen
49242.0000000000,318.1254070000,200.1221200000,0.7773512770,51368.0000000000,0.6584563540,881.8360000000,Kecimen
42492.0000000000,310.1460715000,176.1314494000,0.8230986810,43904.0000000000,0.6658935620,823.7960000000,Kecimen
60952.0000000000,332.4554716000,235.4298350000,0.7060575180,62329.0000000000,0.7435981900,933.3660000000,Kecimen
42256.0000000000,323.1896072000,172.5759261000,0.8454987890,44743.0000000000,0.6980309240,849.7280000000,Kecimen
64380.0000000000,366.9648423000,227.7716147000,0.7840556260,66125.0000000000,0.6643757160,981.5440000000,Kecimen
80437.0000000000,449.4545811000,232.3255064000,0.8560425180,84460.0000000000,0.6742357570,1176.3050000000,Kecimen
43725.0000000000,301.3222176000,186.9506295000,0.7842584520,45021.0000000000,0.6970682480,818.8730000000,Kecimen
43441.0000000000,276.6108288000,201.8131355000,0.6838823370,45133.0000000000,0.6908555980,803.7480000000,Kecimen
76792.0000000000,338.8575454000,291.3592017000,0.5105838130,78842.0000000000,0.7723222370,1042.7700000000,Kecimen
74167.0000000000,387.7989307000,247.8581228000,0.7690897380,76807.0000000000,0.6801815850,1084.7290000000,Kecimen
33565.0000000000,261.5543311000,167.7084908000,0.7673742750,35794.0000000000,0.6815505200,751.4130000000,Kecimen
64670.0000000000,403.0839752000,206.4846437000,0.8588291680,66419.0000000000,0.7567725700,1028.4450000000,Kecimen
64762.0000000000,354.2939396000,235.7524629000,0.7464737260,66713.0000000000,0.6949980150,981.5090000000,Kecimen
43295.0000000000,304.2844667000,182.8110368000,0.7994069590,44714.0000000000,0.7138381890,814.6800000000,Kecimen
70699.0000000000,418.6985723000,216.5960537000,0.8557993920,72363.0000000000,0.7280750540,1061.3210000000,Kecimen
69726.0000000000,354.1769124000,252.5292080000,0.7011609620,71849.0000000000,0.7343985340,1035.5010000000,Kecimen
57346.0000000000,330.4784385000,222.4437485000,0.7395550270,59365.0000000000,0.7236088330,928.2720000000,Kecimen
82028.0000000000,397.1149759000,268.3337727000,0.7371693670,84427.0000000000,0.6863750850,1106.3550000000,Kecimen
61251.0000000000,301.5077895000,273.6599414000,0.4197537070,64732.0000000000,0.6435956710,971.7690000000,Kecimen
96277.0000000000,447.1345225000,275.2161542000,0.7881284050,97865.0000000000,0.7040571570,1181.9210000000,Kecimen
75620.0000000000,368.2242844000,263.4592554000,0.6986272510,77493.0000000000,0.7262773720,1059.1860000000,Kecimen
73167.0000000000,340.0552180000,276.0151772000,0.5841058100,74545.0000000000,0.7787368560,1010.4740000000,Kecimen
60847.0000000000,336.9238696000,231.4656959000,0.7266602290,62492.0000000000,0.6985878300,964.6030000000,Kecimen
81021.0000000000,347.7500583000,297.6406265000,0.5171349310,82552.0000000000,0.7575596070,1063.8680000000,Kecimen
59902.0000000000,358.5919148000,222.9020273000,0.7833319580,63250.0000000000,0.7441242240,982.7880000000,Kecimen
88745.0000000000,429.7703550000,265.6902361000,0.7860094880,90715.0000000000,0.7520635240,1162.8770000000,Kecimen
41809.0000000000,307.5327392000,175.0855680000,0.8221136950,43838.0000000000,0.6974443670,828.6970000000,Kecimen
75329.0000000000,364.2307798000,265.8668635000,0.6835104990,77541.0000000000,0.7230797290,1075.7920000000,Kecimen
61600.0000000000,350.1827545000,225.8427713000,0.7642430750,63397.0000000000,0.7468296110,972.4720000000,Kecimen
46427.0000000000,253.8420284000,235.9068241000,0.3692124590,48275.0000000000,0.6842190590,844.3120000000,Kecimen
40861.0000000000,249.7402266000,213.5732718000,0.5183283300,43096.0000000000,0.7430894010,784.9120000000,Kecimen
55827.0000000000,305.2988430000,234.6612245000,0.6396960770,57724.0000000000,0.7032879820,926.0950000000,Kecimen
54182.0000000000,366.0666742000,192.0132740000,0.8513914250,56450.0000000000,0.6114176740,968.7290000000,Kecimen
77468.0000000000,405.9365937000,245.9897977000,0.7954792410,79220.0000000000,0.7215453970,1100.6760000000,Kecimen
49882.0000000000,287.2643272000,222.1858727000,0.6338518840,50880.0000000000,0.7663778270,843.7640000000,Kecimen
95245.0000000000,397.0941140000,307.2739224000,0.6334223150,97988.0000000000,0.7530439600,1201.3900000000,Kecimen
71464.0000000000,364.1030896000,253.7969272000,0.7170255430,73265.0000000000,0.7154842710,1036.9400000000,Kecimen
77055.0000000000,375.2501319000,262.8124219000,0.7137839380,79255.0000000000,0.7322670770,1095.2830000000,Kecimen
92384.0000000000,368.4062138000,320.7145792000,0.4920869340,93772.0000000000,0.7490068270,1135.6620000000,Kecimen
77310.0000000000,436.5298989000,228.2803725000,0.8523674890,80138.0000000000,0.6317208690,1141.1890000000,Kecimen
